
internal-xwiki;Linux kernel;3.10.0-1160.76.1.el7.x86_64
internal-xwiki;OpenJDK;11.0.17
internal-xwiki;OpenSSH;7.4p1
internal-xwiki;OpenSSL;1.0.2k-fips
internal-xwiki;PostgreSQL;13.8
internal-xwiki;Rsyslog;8.24.0
internal-xwiki;XWiki;13.10.2
internal-xwiki;xwiki-server-1;3.0.1
internal-xwiki;Zulu OpenJDK 64-Bit Server;11.60
internal-xwiki;Zulu OpenJDK RTE;11.60
int-srv2-esxi;BIOS version;U32
int-srv2-esxi;Enclosure SN;CZJ9060296
int-srv2-esxi;Product Name;ProLiant DL360 Gen10
int-srv-esxi;BIOS version;U32
int-srv-esxi;Enclosure SN;CZJ9060297
int-srv-esxi;Product Name;ProLiant DL360 Gen10
mgmt-chat;Apache;2.4.6
mgmt-chat;Chrony;3.4
mgmt-chat;Filebeat;8.3.3
mgmt-chat;FirewallD;0.6.3
mgmt-chat;F-Secure Linux Security;12.0.35
mgmt-chat;linuxconfig;1.2.3
mgmt-chat;Linux kernel;3.10.0-1160.76.1.el7.x86_64
mgmt-chat;MongoDB;4.2.22
mgmt-chat;NodeJs;14.20.0
mgmt-chat;OpenSSH;7.4p1
mgmt-chat;OpenSSL;1.0.2k-fips
mgmt-chat;RocketChat;4.7.4
mgmt-chat;Rsyslog;8.24.0
mgmt-fsmc;Apache;2.4.6
mgmt-fsmc;Chrony;3.4
mgmt-fsmc;Filebeat;8.3.3
mgmt-fsmc;FirewallD;0.6.3
mgmt-fsmc;F-Secure Linux Security;12.0.35
mgmt-fsmc;linuxconfig;1.2.3
mgmt-fsmc;Linux kernel;3.10.0-1160.76.1.el7.x86_64
mgmt-fsmc;MongoDB;4.2.22
mgmt-fsmc;OpenSSH;7.4p1
mgmt-fsmc;OpenSSL;1.0.2k-fips
mgmt-fsmc;Rsyslog;8.24.0
mgmt-fsmc;SMCFederator;1.0.3
mgmt-fspm;Chrony;3.4
mgmt-fspm;Filebeat;8.4.2
mgmt-fspm;FirewallD;0.6.3
mgmt-fspm;F-Secure Linux Security;12.0.35
